6301572769,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
630157463X,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6301574656,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
6301576179,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301585305,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
6301586646,"['Movies & TV', 'Genre for Featured Categories', 'Sports']"
6301591577,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301599306,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6301599357,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6301606205,"['Movies & TV', 'Genre for Featured Categories', 'Special Interests']"
6301618769,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301628489,"['Movies & TV', 'TV']"
6301640527,"['Movies & TV', 'Art House & International', 'By Country', 'France', 'Comedy']"
6301648390,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']"
6301648412,"['Movies & TV', 'Movies']"
6301674685,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6301681312,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6301696670,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301697693,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301715845,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6301716957,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301758285,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6301766202,"['Movies & TV', 'Genre for Featured Categories', 'Westerns']"
6301773640,"['Movies & TV', 'Art House & International', 'By Country', 'Italy', 'Drama']"
6301777700,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301778251,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301798031,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301798236,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
6301801202,"['Movies & TV', 'Genre for Featured Categories', 'Mystery & Thrillers']"
6301801385,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom']"
6301801466,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301802802,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
630180564X,"['Movies & TV', 'Genre for Featured Categories', 'Westerns']"
630181391X,"['Movies & TV', 'Genre for Featured Categories', 'Science Fiction']"
6301826779,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
6301879406,"['Movies & TV', 'Genre for Featured Categories', 'Horror']"
6301911806,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
6301913892,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
630191774X,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
6301925750,"['Movies & TV', 'Genre for Featured Categories', 'Westerns']"
6301928261,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
6301928482,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
